"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"Crimping","??","?","?","","","","as","chaku","","","","aschaku","acchaku","a?ski"
"pressure","??","?","?","","","","as","riki/r?","","","","asriki/r?","asliki/r?","a?sliki"
"Press-fit","??","?","?","","","","as","nyun","","","","asnyun","asnyun","a?snju?n"
"crush","??","?","?","","","","as","sas","","","","assas","assas","a?ssas"
"tyranny","??","?","?","","","","as","sei","","","","assei","assei","a?ssei"
"oppression","??","?","?","","","","as","sei","","","","assei","assei","a?ssei"
"crushed to death","??","?","?","","","","as","shi","","","","asshi","asshi","a???i"
"Overwhelming","??","?","?","","","","as","tou","","","","astou","astou","a???i"
"rolling","??","?","?","","","","as","yen","","","","asyen","asshyen","a?sswen"
"Compression","??","?","?","","","","as","saku","","","","assaku","assaku","a???uku"
"zinc","??","?","?","","","","a","yen","","","","ayen","ayen","aen"
"Beloved horse","??","?","?","","","","ai","ma","","","","aima","aima","aiba"
"beloved sword","??","?","?","","","","ai","tau","","","","aitau","aitau","aido"
"love","??","?","?","","","","ai","j?n","","","","aij?n","aij?n","ai?o?"
"protection","??","?","?","","","","ai","ho","","","","aiho","aiho","aigo"
"Favorite drink","??","?","?","","","","ai","yen","","","","aiyen","aiyen","aii?n"
"Love and Nurturing","??","?","?","","","","ai","iku","","","","aiiku","aiiku","aiiku"
"Love juice","??","?","?","","","","ai","eki","","","","aieki","aieki","aijeku"
"lust","??","?","?","","","","ai","yoku","","","","aiyoku","aiyoku","aijoku"
"My favorite machine","??","?","?","","","","ai","ki","","","","aiki","aiki","aiki"
"favorite school","??","?","?","","","","ai","kyo","","","","aikyo","aikyo","aikjo"
"patronage","??","?","?","","","","ai","ko","","","","aiko","aiko","aiko"
"Aizen","??","?","?","","","","ai","l?n","","","","ail?n","ail?n","aisen"
"Beloved son","??","?","?","","","","ai","shiku","","","","aishiku","aishiku","aisuku"
"Love company","??","?","?","","","","ai","sha","","","","aisha","aisha","ai?a"
"My car","??","?","?","","","","ai","sha","","","","aisha","aisha","ai?a"
"favorite book","??","?","?","","","","ai","sho","","","","aisho","aisho","ai?o"
"Beloved wife","??","?","?","","","","ai","sai","","","","aisai","aisai","ai?ei"
"pet bird","??","?","?","","","","ai","ch?","","","","aich?","aich?","ai?o"
"Listening","??","?","?","","","","ai","ty?","","","","aity?","aity?","ai?o?"
"Treasured","??","?","?","","","","ai","z?","","","","aiz?","aiz?","ai?a?n"
"mistress","??","?","?","","","","ai","zhin","","","","aizhin","aizhin","ai?in"
"beloved child","??","?","?","","","","ai","zhi","","","","aizhi","aizhi","aini"
"favorite song","??","?","?","","","","ai","sh?n","","","","aish?n","aish?n","ai?"
"Empress","??","?","?","","","","ai","hi","","","","aihi","aihi","aiki"
"concubine","??","?","?","","","","ai","","","","","ai","ai","ai?"
