English,Compound,"Izaki Reading
(sandhi applied)"
#ERROR!,圧着,#ERROR!
#ERROR!,圧力,#ERROR!
#ERROR!,圧入,#ERROR!
Crushed,圧殺,#ERROR!
tyranny,圧制,#ERROR!
oppression,圧政,#ERROR!
#ERROR!,圧死,#ERROR!
#ERROR!,圧倒,astou
#ERROR!,圧延,#ERROR!
#ERROR!,圧搾,#ERROR!
#ERROR!,亜鉛,ayen
Beloved horse,愛馬,#ERROR!
beloved sword,愛刀,#ERROR!
love,愛情,#ERROR!
protection,愛護,#ERROR!
#ERROR!,愛飲,aiyen
#ERROR!,愛育,#ERROR!
#ERROR!,愛液,#ERROR!
lust,愛欲,#ERROR!
#ERROR!,愛機,#ERROR!
#ERROR!,愛校,#ERROR!
#ERROR!,愛顧,#ERROR!
#ERROR!,愛染,aiyōn
Beloved son,愛息,#ERROR!
Love company,愛社,#ERROR!
#ERROR!,愛車,#ERROR!
#ERROR!,愛書,#ERROR!
Beloved wife,愛妻,aisai
pet bird,愛鳥,aichō
#ERROR!,愛聴,#ERROR!
Treasured,愛蔵,#ERROR!
#ERROR!,愛人,#ERROR!
#ERROR!,愛児,#ERROR!
#ERROR!,愛唱,#ERROR!
#ERROR!,愛妃,#ERROR!
#ERROR!,愛妾,#ERROR!
#ERROR!,愛惜,#ERROR!
Admiration,愛慕,#ERROR!
Love and hate,愛憎,#ERROR!
#ERROR!,愛煙,#ERROR!
love cat,愛猫,aibyō
pet,愛玩,#ERROR!
#ERROR!,愛誦,#ERROR!
#ERROR!,愛郷,#ERROR!
subfamily,亜科,#ERROR!
#ERROR!,亜型,ahyō
bad feeling,悪感,#ERROR!
deterioration,悪化,#ERROR!
#ERROR!,悪果,#ERROR!
Evil disease,悪病,akubyō
#ERROR!,悪道,#ERROR!
bad friends,悪友,#ERROR!
#ERROR!,悪逆,#ERROR!
bad money,悪貨,#ERROR!
demon,悪鬼,#ERROR!
bad writing,悪文,#ERROR!
#ERROR!,悪女,#ERROR!
Bad handwriting,悪筆,#ERROR!
Bad law,悪法,#ERROR!
Bad wind,悪風,#ERROR!
evil spirits,悪霊,#ERROR!
Grip strength,握力,#ERROR!
Bad relationship,悪縁,#ERROR!
Rough roads,悪路,#ERROR!
#ERROR!,悪政,#ERROR!
#ERROR!,悪声,#ERROR!
#ERROR!,悪銭,#ERROR!
#ERROR!,悪習,#ERROR!
Evil god,悪神,#ERROR!
#ERROR!,悪所,#ERROR!
Bad weather,悪天,akutyen
bad wife,悪妻,#ERROR!
bad luck,悪運,#ERROR!
evil deeds,悪業,#ERROR!
#ERROR!,悪僧,#ERROR!
#ERROR!,悪臣,#ERROR!
#ERROR!,悪婆,#ERROR!
#ERROR!,悪弊,#ERROR!
#ERROR!,悪漢,akkkan
#ERROR!,悪疫,akuyeku
#ERROR!,悪癖,#ERROR!
bad boy,悪童,#ERROR!
#ERROR!,悪罵,#ERROR!
#ERROR!,悪謀,#ERROR!
bad taste,悪趣,#ERROR!
#ERROR!,暗部,#ERROR!
#ERROR!,安打,#ERROR!
safety,安全,#ERROR!
in the dark,暗中,#ERROR!
#ERROR!,安座,#ERROR!
#ERROR!,暗影,#ERROR!
stupidity,暗愚,#ERROR!
Easy,安逸,#ERROR!
#ERROR!,安価,#ERROR!
Yasukang,安康,ankān
Case,案件,#ERROR!
#ERROR!,安國,#ERROR!
#ERROR!,暗君,#ERROR!
#ERROR!,暗幕,anmaku
#ERROR!,安民,#ERROR!
#ERROR!,安眠,#ERROR!
#ERROR!,案文,#ERROR!
