lemma,ipa,POS,english,italian,byakuzhi,askaoza,notes,example
hatta,hatta,: num =,a,uno,,,,
takas yaki,tagas jaki,: adv =,a little at a time,un po' alla volta,,,,
takas yaki,tagas jaki,: adv =,a little at a time,un po' alla volta,,,,
nui yaki,nui jaki,: adv =,a little more,ancora un po',,,,
estesu,estesu,: v =,abandon,abbandonare,,,,
tsion,ʦion,: adv =,about,circa,,,,
uino,uino,: n =,above,sopra,,,,
nyuāna,nujaːhana,: adj =,"abundant, rich","abbondante, ricco",,,,
pakohante,pakohante,: adv =,accidentally,accidentalmente,,,,
ikurausu,ikurausu,: v =,accumulate,accumularsi,,,,
nokotottuttu,nokotottuttu,: adj =,accustomed to seeing,abituato a vedere,,,,
haiyau,haijau,: n =,actor,attore,,,,
toderi,toderi,: adv =,actually,in realtà,,,,
nowelsu,nowelsu,: v =,admit,ammettere,,,,
otami,otami,: n =,adult,adulto,,,,
suri,suri,: adv =,after (chronological),dopo (cronologico),,,,
chokoe,ʧokoe,: n =,afternoon,pomeriggio,,,,
seta,seta,: adv =,again,"ancora, nuovamente",,,,
shinai,ʃinai,: n =,air,aria,,,,
ikona,ikona,: adj =,everything,tutto,,,,
haikis,haikis,: adv =,almost,quasi,,,,
hananena,hananena,: adj =,"alone, solitary","solo, solitario",,,,
sakki,sakki,: adv =,already,già,,,,
ri,ri,: conj =,also (suffix),anche (suffisso),,,,
jomatta,jomatta,: n =,altar,altare,,,,
estinden,estinden,: adv =,always,sempre,,,,
tsahena,ʦahena,: adj =,ancient,antico,,,,
ta,ta,: conj =,and (conj.),e,,,,
tomesu,tomesu,: v =,answer,rispondere,,,,
tome,tome,: n =,answer,risposta,,,,
nashitsas,naʃiʦas,: pron =,anything,qualsiasi cosa,,,,
kamihen,kamihen,: adv =,anywhere,da nessuna parte,,,,
kubesu,kubesu,: v =,apologize,scusarsi,,,,
sugua,sugua,: n =,apple,mela,,,,
sanka,sanka,: n =,area,zona,,,,
sakaso,sakaso,: n =,arm,braccio,,,,
anaka,anaka,: n =,arrow,freccia,,,,
karchofu,karʧofu,: n =,artichoke,carciofo,,,,
soi,soi,: conj =,as,come,,,,
soiha,soiha,: conj =,as if,come se,,,,
hishu,hiʃu,: adv =,as it is (after participle),così com è (dopo participio),,,,
tuse,tuse,: conj =,as much as,tanto quanto,,,,
kyeresu,kjeresu,: v =,ask,chiedere,,,,
asparaga,asparaga,: n =,asparagus,asparago,,,,
